ID_Transaksi,Tanggal,Produk,Harga,Jumlah,Total,Rating_Customer,Diskon
1,2024-01-01 00:00:00,Laptop,5000,2,9500.0,4,0.05
2,2024-01-01 01:00:00,Mouse,150,5,675.0,3,0.10
3,2024-01-01 02:00:00,Keyboard,200,3,540.0,5,0.10
4,2024-01-01 03:00:00,Monitor,2000,1,1700.0,4,0.15
5,2024-01-01 04:00:00,Printer,800,2,1360.0,2,0.15
6,2024-01-01 05:00:00,Laptop,5000,1,4500.0,5,0.10
7,2024-01-01 06:00:00,Mouse,150,8,1080.0,3,0.10
8,2024-01-01 07:00:00,Keyboard,200,2,360.0,4,0.10
9,2024-01-01 08:00:00,Monitor,2000,2,3800.0,5,0.05
10,2024-01-01 09:00:00,Printer,800,1,720.0,3,0.10
11,2024-01-01 10:00:00,Laptop,5000,1,5000.0,4,0.00
12,2024-01-01 11:00:00,Mouse,150,3,427.5,4,0.05
13,2024-01-01 12:00:00,Keyboard,200,4,720.0,5,0.10
14,2024-01-01 13:00:00,Monitor,2000,1,1800.0,3,0.10
15,2024-01-01 14:00:00,Printer,800,3,2040.0,4,0.15
16,2024-01-01 15:00:00,Laptop,5000,2,10000.0,5,0.00
17,2024-01-01 16:00:00,Mouse,150,6,810.0,4,0.10
18,2024-01-01 17:00:00,Keyboard,200,1,180.0,3,0.10
19,2024-01-01 18:00:00,Monitor,2000,1,1900.0,5,0.05
20,2024-01-01 19:00:00,Printer,800,2,1600.0,4,0.00
21,2024-01-01 20:00:00,Laptop,5000,1,4750.0,3,0.05
22,2024-01-01 21:00:00,Mouse,150,4,570.0,5,0.05
23,2024-01-01 22:00:00,Keyboard,200,2,380.0,4,0.05
24,2024-01-01 23:00:00,Monitor,2000,3,5700.0,5,0.05
25,2024-01-02 00:00:00,Printer,800,1,760.0,3,0.05
26,2024-01-02 01:00:00,Laptop,5000,2,9200.0,4,0.08
27,2024-01-02 02:00:00,Mouse,150,7,945.0,4,0.10
28,2024-01-02 03:00:00,Keyboard,200,3,540.0,5,0.10
29,2024-01-02 04:00:00,Monitor,2000,1,1700.0,3,0.15
30,2024-01-02 05:00:00,Printer,800,4,2720.0,5,0.15
